COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Korea,MAY2013,May 2013,2013,5,May,Final consumption,39473.035,20,497750.909,205110.803,0.9540332018148102
IEA Total,FEB2016,February 2016,2016,2,February,Natural gas,211339.729825,10,2795269.59938,433365.571219,0.247120296278335
India,DEC2018,December 2018,2018,12,December,Electricity supplied,123155.01225,17,1519537.87662,1405865.056296,1.0
Mexico,MAR2011,March 2011,2011,3,March,Oil,3417.958,9,44965.322,9899.519,0.1469392496324754
Denmark,JAN2022,January 2022,2022,1,January,Total exports,1654.782877,16,17369.366721,1150.371344,0.4249060247808585
OECD Asia Oceania,SEP2010,September 2010,2010,9,September,Wind,736.847,2,10797.443,,0.0046102287693861
Czech Republic,FEB2018,February 2018,2018,2,February,Hydro,307.157692,1,2651.817999,458.151,0.0471371116879523
IEA Total,SEP2012,September 2012,2012,9,September,Combustible renewables,18289.812,11,230436.359,158269.163,0.0223343889532102
Sweden,SEP2014,September 2014,2014,9,September,Total combustible fuels,712.32,7,13155.001,11148.986,0.0712232609058868
Canada,FEB2018,February 2018,2018,2,February,Other renewables aggregated,817.062771,25,9742.54293,1936.496,0.0148408742706808
Australia,JAN2019,January 2019,2019,1,January,Others,461.496176,24,4751.701503,416.366173,0.0198969311327682
OECD Asia Oceania,APR2017,April 2017,2017,4,April,Others,8182.224697,24,120288.711535,56852.44434,0.0585772232552717
OECD Europe,JAN2018,January 2018,2018,1,January,Hydro,55300.426789,1,589404.626854,50124.937,0.1675382344895002
Hungary,NOV2022,November 2022,2022,11,November,Net electricity production,2439.637628,14,33731.767383,31342.404825,1.0
Romania,JAN2020,January 2020,2020,1,January,Nuclear,968.972739,6,10556.703,944.857524,0.1941823354386493
Sweden,OCT2015,October 2015,2015,10,October,Electricity supplied,11631.65,17,136445.0,108552.586,0.8204356410167247
Iceland,SEP2012,September 2012,2012,9,September,Electricity supplied,1395.546,17,17295.999,12497.597,1.0
Ireland,JUN2015,June 2015,2015,6,June,Natural gas,866.299,10,11915.822,5995.979,0.4213744029954924
Denmark,DEC2010,December 2010,2010,12,December,Total exports,1362.884,16,11734.0,,0.3268765522261516
Iceland,AUG2019,August 2019,2019,8,August,Electricity supplied,1488.72631,17,19119.793,12826.007707,1.0
New Zealand,APR2011,April 2011,2011,4,April,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
Croatia,JAN2015,January 2015,2015,1,January,Others,18.801,24,199.864,,0.0159624189929098
OECD Europe,OCT2017,October 2017,2017,10,October,Net electricity production,289108.111,14,3532539.868,2852718.886,1.0
OECD Total,DEC2018,December 2018,2018,12,December,Oil,16448.933067,9,203348.452296,210469.548535,0.0177652520809795
Denmark,AUG2014,August 2014,2014,8,August,Total exports,763.04,16,9847.001,6879.663,0.3396155201942695
Greece,SEP2010,September 2010,2010,9,September,Wind,198.683,2,2714.001,,0.0468283620785558
Argentina,JUN2017,June 2017,2017,6,June,Geothermal,0.0,4,0.0,0.0,0.0
Colombia,NOV2016,November 2016,2016,11,November,Non-renewables,1487.661,23,24570.492,23815.672,0.2403083432165429
Slovak Republic,JAN2018,January 2018,2018,1,January,Other renewables aggregated,115.302628,25,1420.528378,118.977,0.0451267031588565
New Zealand,JUN2013,June 2013,2013,6,June,Electricity trade,0.0,21,0.0,0.0,0.0
Netherlands,JUL2016,July 2016,2016,7,July,Distribution losses,451.342,19,5433.832,3019.599,0.054579611037043
Austria,MAY2020,May 2020,2020,5,May,Natural gas,174.92634,10,9523.693792,4442.656546,0.0314691273856157
Netherlands,MAR2011,March 2011,2011,3,March,Wind,232.25,2,5100.171,1084.913,0.0235485332989948
Czech Republic,FEB2015,February 2015,2015,2,February,Distribution losses,365.305,19,4066.999,753.41,0.0507205538447611
United States,NOV2014,November 2014,2014,11,November,Combustible renewables,5636.672,11,66672.641,57324.454,0.0176243264802523
Japan,JUN2011,June 2011,2011,6,June,Geothermal,192.46,4,2366.026,1291.991,0.0022948166416344
OECD Americas,FEB2014,February 2014,2014,2,February,Total exports,5366.624,16,75373.999,11460.739,0.0129153724187393
OECD Americas,SEP2017,September 2017,2017,9,September,Nuclear,76149.167,6,911086.64,686355.667,0.1780687672295109
Slovenia,SEP2015,September 2015,2015,9,September,Total imports,593.0,15,9045.0,5023.693,0.4685532056782643
United States,APR2018,April 2018,2018,4,April,Total exports,1244.52538,16,13804.492,3363.64,0.0040509191231318
Belgium,NOV2016,November 2016,2016,11,November,Low carbon,4048.712,26,57050.421,36428.655,0.5894784659074778
OECD Europe,JUL2018,July 2018,2018,7,July,Net electricity production,282513.716984,14,3522615.076102,2053856.785,1.0
Serbia,JUN2022,June 2022,2022,6,June,Fossil fuels,1538.021853,27,22354.918306,11137.570481,0.6595064843480006
Lithuania,OCT2010,October 2010,2010,10,October,Natural gas,197.05,10,2888.214,,0.5059543678202238
Hungary,NOV2019,November 2019,2019,11,November,Other combustible non-renewables,22.197188,12,227.597318,187.381302,0.0079067557400116
Greece,JUL2021,July 2021,2021,7,July,Distribution losses,881.498402,19,6850.754942,1993.787735,0.1634588274125561
Denmark,MAY2020,May 2020,2020,5,May,Total imports,1446.172825,15,18301.287406,6088.264868,0.6894144724085893
Hungary,OCT2010,October 2010,2010,10,October,Oil,37.352,9,448.224,,0.0127256466820547
IEA Total,JUL2015,July 2015,2015,7,July,Geothermal,3399.952,4,40807.718,22498.98,0.0036731496590297
Romania,APR2016,April 2016,2016,4,April,Low carbon,3708.623,26,37412.511,13657.798,0.7475290132823347
Mexico,DEC2011,December 2011,2011,12,December,Renewables,3233.433,22,44372.956,45046.671,0.1484755513075509
Spain,SEP2011,September 2011,2011,9,September,Non-renewables,18253.164,23,195423.993,142965.611,0.7833688170082679
Serbia,MAR2018,March 2018,2018,3,March,Renewables,1413.016403,22,11562.372699,2804.193,0.4095094001023559
Spain,JUL2015,July 2015,2015,7,July,Total exports,1509.221,16,15089.0,9339.171,0.0584858506087082
Denmark,APR2020,April 2020,2020,4,April,Other renewables aggregated,445.321736,25,5472.522159,2338.095037,0.2065989031122808
Denmark,DEC2010,December 2010,2010,12,December,Non-renewables,2934.438,23,24737.518,,0.7038008929310228
Poland,MAY2021,May 2021,2021,5,May,Electricity supplied,13143.314131,17,168661.510566,65845.672529,1.0393442865182954
United States,AUG2019,August 2019,2019,8,August,Used for pumped storage,2901.839779,18,26063.280858,19171.356755,0.0070964303530978
Ireland,MAR2013,March 2013,2013,3,March,Non-renewables,1961.4,23,19172.589,5547.31,0.7822766907949078
Poland,DEC2012,December 2012,2012,12,December,Natural gas,564.09,10,5676.914,5281.804,0.0422697576216174
Bulgaria,JUN2022,June 2022,2022,6,June,Electricity trade,1275.858925,21,12194.62309,2937.567566,0.3465821932802567
Germany,NOV2017,November 2017,2017,11,November,Total exports,7560.889,16,80301.0,71296.755,0.1370160052845716
Slovak Republic,MAR2019,March 2019,2019,3,March,Distribution losses,148.676121,19,1679.204766,317.645605,0.0590674535157862
Korea,APR2021,April 2021,2021,4,April,Coal,11585.634002,8,177996.537506,64168.863923,0.2797663306210383
Costa Rica,FEB2022,February 2022,2022,2,February,Wind,189.338468,2,1369.26046,371.525183,0.2037929351618414
OECD Americas,DEC2016,December 2016,2016,12,December,Total combustible fuels,261504.58,7,3179672.511,3245034.511,0.5844967184716146
Korea,SEP2010,September 2010,2010,9,September,Renewables,1208.013,22,8877.013,,0.0319738573121624
Portugal,SEP2021,September 2021,2021,9,September,Coal,66.496899,8,771.817,1202.14849,0.018095810865181
Romania,NOV2018,November 2018,2018,11,November,Natural gas,1070.911135,10,9159.551328,8130.965,0.2105334013762453
Italy,DEC2013,December 2013,2013,12,December,Oil,1315.222,9,14712.559,18000.699,0.0575646759084612
Lithuania,OCT2015,October 2015,2015,10,October,Oil,22.955,9,252.292,121.737,0.0605626482406359
Denmark,APR2019,April 2019,2019,4,April,Non-renewables,524.02839,23,6010.499441,4519.885318,0.2494419582397159
Republic of Turkiye,JAN2011,January 2011,2011,1,January,Net electricity production,18478.774,14,217557.998,16830.792,1.0
Bulgaria,JUN2017,June 2017,2017,6,June,Natural gas,86.347,10,1645.977,779.27,0.0277999122348654
France,JAN2011,January 2011,2011,1,January,Oil,898.501,9,7064.703,757.658,0.0152179672012776
Slovenia,DEC2014,December 2014,2014,12,December,Distribution losses,68.76,19,820.999,848.001,0.0521472834647759
Canada,JUL2014,July 2014,2014,7,July,Coal,4865.771,8,61620.382,35315.578,0.0977159773342887
Sweden,FEB2014,February 2014,2014,2,February,Combustible renewables,1011.231,11,10321.735,2930.338,0.0699527591235503
Bulgaria,OCT2018,October 2018,2018,10,October,Low carbon,1614.559368,26,24687.538266,17631.901,0.4677064885565951
Mexico,FEB2018,February 2018,2018,2,February,Oil,3131.399053,9,44583.894904,5806.582,0.1296390500106197
Portugal,NOV2016,November 2016,2016,11,November,Total combustible fuels,2859.566,7,28702.0,26340.223,0.5935568960814732
Colombia,MAR2021,March 2021,2021,3,March,Geothermal,0.0,4,0.0,0.0,0.0
Norway,NOV2014,November 2014,2014,11,November,Net electricity production,13030.893,14,141341.999,120437.276,1.0
France,AUG2020,August 2020,2020,8,August,Total imports,2149.389659,15,19536.102,8063.242961,0.0631158123934152
Italy,DEC2020,December 2020,2020,12,December,Other combustible non-renewables,212.709762,12,2304.771812,2324.754115,0.0093259749244981
United Kingdom,JUL2018,July 2018,2018,7,July,Non-renewables,16878.339184,23,206766.188452,129406.733,0.7139681620343845
Australia,JUN2013,June 2013,2013,6,June,Net electricity production,19136.571,14,231363.001,119108.496,1.0
Denmark,APR2018,April 2018,2018,4,April,Net electricity production,2615.174315,14,29314.299998,12228.737,1.0
North Macedonia,OCT2020,October 2020,2020,10,October,Geothermal,0.0,4,0.0,0.0,0.0
Iceland,OCT2016,October 2016,2016,10,October,Fossil fuels,0.307,27,3.0,2.23,0.0002022774996919
New Zealand,DEC2013,December 2013,2013,12,December,Fossil fuels,420.394,27,10424.925,11658.801,0.1250502334909175
OECD Americas,JUN2015,June 2015,2015,6,June,Hydro,59360.306,1,749628.041,399428.492,0.1313760463090385
Hungary,AUG2017,August 2017,2017,8,August,Wind,43.984,2,737.0,446.127,0.0179840701306772
Spain,APR2013,April 2013,2013,4,April,Used for pumped storage,828.501,18,5907.999,1533.391,0.0381857596463518
Republic of Turkiye,APR2022,April 2022,2022,4,April,Not specified,112.925549,13,1411.377702,437.590143,0.0045830753343508
Norway,DEC2020,December 2020,2020,12,December,Used for pumped storage,19.638,18,951.732,1261.999999,0.0012099613200929
Argentina,JAN2017,January 2017,2017,1,January,Renewables,2851.873,22,33292.217,2975.411,0.2151760334530636
United States,JAN2019,January 2019,2019,1,January,Combustible renewables,5338.80593,11,59766.306448,5700.669287,0.0146590908282463
Korea,MAY2014,May 2014,2014,5,May,Distribution losses,1455.307,19,18270.413,7682.248,0.0345907973281857
Denmark,JUN2019,June 2019,2019,6,June,Combustible renewables,195.576758,11,5548.99956,3202.783491,0.1320340551974013
Austria,JUL2014,July 2014,2014,7,July,Total combustible fuels,885.319,7,15179.741,10566.292,0.1637873906581214
France,OCT2014,October 2014,2014,10,October,Wind,1296.065,2,17323.78,12277.229,0.0310125897142524
India,SEP2016,September 2016,2016,9,September,Used for pumped storage,0.0,18,0.0,0.0,0.0
Slovenia,OCT2022,October 2022,2022,10,October,Electricity trade,-554.865843,21,-1445.916085,375.276383,-1.003305833135289
Estonia,JAN2018,January 2018,2018,1,January,Renewables,176.888692,22,1828.663306,162.567,0.1693097686071775
Belgium,JAN2020,January 2020,2020,1,January,Other renewables,0.0,5,0.0,0.0,0.0
OECD Asia Oceania,APR2015,April 2015,2015,4,April,Net electricity production,143735.879314,14,1843930.3607,637113.314,1.0
OECD Total,NOV2010,November 2010,2010,11,November,Final consumption,775243.385,20,9674557.159,,0.9278098810913976
Greece,JUN2014,June 2014,2014,6,June,Distribution losses,333.078,19,4149.001,1889.675,0.0860769425187192
France,MAY2020,May 2020,2020,5,May,Renewables,11759.478318,22,127848.102587,49575.324586,0.303970926341545
OECD Total,APR2015,April 2015,2015,4,April,Final consumption,747809.83641,20,9764871.989102,3274727.381,0.9376307960711312
Latvia,FEB2011,February 2011,2011,2,February,Natural gas,375.597,10,2534.411,777.677,0.6021247671477077
Lithuania,JUN2020,June 2020,2020,6,June,Electricity trade,-569.162567,21,-7908.531999,-4578.364708,-1.3225885027915794
OECD Americas,APR2018,April 2018,2018,4,April,Other renewables,2.14904,5,19.999997,3.741,5.403740621701338e-06
Korea,OCT2014,October 2014,2014,10,October,Others,1237.416,24,18307.67,18285.335,0.0299573269762192
Malta,MAY2017,May 2017,2017,5,May,Total imports,87.888,15,897.066,598.582,0.9348096620823896
United Kingdom,JUN2013,June 2013,2013,6,June,Final consumption,23749.408,20,324385.418,165238.759,0.9603299832684108
United Kingdom,OCT2013,October 2013,2013,10,October,Combustible renewables,1439.995,11,17279.94,11744.26,0.0516337976363327
Lithuania,APR2016,April 2016,2016,4,April,Electricity trade,-670.911,21,-8275.0,-2530.651,-2.3260871826342013
Australia,FEB2013,February 2013,2013,2,February,Others,220.387,24,4428.611,2187.311,0.0118777528208093
OECD Asia Oceania,OCT2018,October 2018,2018,10,October,Other combustible non-renewables,1357.286781,12,18726.923694,14725.978,0.0092519787253142
Bulgaria,MAR2018,March 2018,2018,3,March,Used for pumped storage,46.331658,18,415.221002,346.929,0.0121446606152789
Australia,DEC2018,December 2018,2018,12,December,Total combustible fuels,16644.884989,7,200828.022961,209572.321406,0.7882770274858749
Colombia,FEB2014,February 2014,2014,2,February,Natural gas,1095.052,10,13365.401,,0.204115671238392
Portugal,NOV2020,November 2020,2020,11,November,Combustible renewables,323.360414,11,3701.610432,2966.97825,0.062275155603606
OECD Americas,MAR2021,March 2021,2021,3,March,Wind,46552.244971,2,441716.599094,103146.309587,0.1116540982133077
Czech Republic,JAN2017,January 2017,2017,1,January,Others,24.61,24,284.572,22.932,0.0030974855868117
Bulgaria,OCT2022,October 2022,2022,10,October,Wind,92.272642,2,1498.378648,1102.726698,0.0320431455702869
Norway,AUG2022,August 2022,2022,8,August,Other renewables aggregated,24.029278,25,260.337602,149.980125,0.0022987473644402
Ireland,JUN2016,June 2016,2016,6,June,Used for pumped storage,33.095,18,532.404,264.005,0.0142064112789333
Germany,JUL2019,July 2019,2019,7,July,Distribution losses,2098.449737,19,28419.978545,15040.458073,0.0475487835350528
Bulgaria,OCT2021,October 2021,2021,10,October,Total imports,110.140822,15,1856.975999,3454.375635,0.0313094387911853
Luxembourg,MAY2017,May 2017,2017,5,May,Non-renewables,20.689,23,285.676,151.62,0.1305942356490891
Slovenia,JUL2019,July 2019,2019,7,July,Final consumption,1168.112408,20,13855.730167,8128.994021,0.8539698204802777
Switzerland,OCT2021,October 2021,2021,10,October,Hydro,2411.415598,1,39169.750745,34665.974539,0.5755913668165484
Slovenia,APR2012,April 2012,2012,4,April,Nuclear,212.121,6,5243.998,1883.361,0.2334280818865196
OECD Total,APR2012,April 2012,2012,4,April,Electricity supplied,792278.907,17,10395861.15,3497506.512,1.000546333300707
Australia,AUG2012,August 2012,2012,8,August,Fossil fuels,17249.799,27,206632.233,146042.504,0.8446495163113269
Norway,JUL2015,July 2015,2015,7,July,Electricity trade,1141.277,21,14645.0,8579.807,0.1128280673407224
Norway,FEB2013,February 2013,2013,2,February,Electricity supplied,12475.901,17,128480.001,26128.692,1.0097739872192484
Slovak Republic,MAR2019,March 2019,2019,3,March,Geothermal,0.0,4,0.0,0.0,0.0
United Kingdom,JUL2018,July 2018,2018,7,July,Low carbon,11946.35794,26,169929.621513,94258.62,0.5053411433698485
Austria,SEP2011,September 2011,2011,9,September,Not specified,0.884,13,10.904,12.861,0.0001809639441623
Republic of Turkiye,MAR2013,March 2013,2013,3,March,Other combustible non-renewables,1.205,12,14.147,3.239,6.302846491009212e-05
Slovak Republic,JUN2019,June 2019,2019,6,June,Wind,0.0,2,6.0,2.4,0.0
New Zealand,NOV2021,November 2021,2021,11,November,Total combustible fuels,309.56377,7,8454.152606,8352.205515,0.091864155793232
Denmark,JAN2017,January 2017,2017,1,January,Combustible renewables,668.116,11,5689.548,556.852,0.2165220412279724
Germany,NOV2020,November 2020,2020,11,November,Low carbon,23598.695486,26,312007.712703,282757.844785,0.474069668014813
OECD Europe,FEB2021,February 2021,2021,2,February,Total exports,33096.942687,16,430251.807008,76325.801453,0.112032631878379
Sweden,JAN2015,January 2015,2015,1,January,Fossil fuels,549.432,27,3030.777,445.61,0.0365108529067132
OECD Asia Oceania,JUN2010,June 2010,2010,6,June,Oil,6956.952,9,107233.814,,0.0467703027624538
Croatia,JUN2016,June 2016,2016,6,June,Oil,4.367,9,62.5,90.327,0.0047205401326983
United States,JUN2015,June 2015,2015,6,June,Other combustible non-renewables,826.675,12,9813.68,4922.842,0.0022615771403889
Finland,NOV2020,November 2020,2020,11,November,Electricity supplied,7256.498597,17,81575.432227,78309.295083,1.1544746797733176
New Zealand,MAY2021,May 2021,2021,5,May,Total combustible fuels,1089.261507,7,8454.152606,3088.513861,0.2860701159610238
OECD Total,MAY2017,May 2017,2017,5,May,Low carbon,395246.752928,26,4706789.446663,1996238.150226,0.4729611710649605
IEA Total,DEC2015,December 2015,2015,12,December,Total imports,44527.849,15,506401.161,478726.468,0.0511525207445603
OECD Asia Oceania,AUG2011,August 2011,2011,8,August,Geothermal,716.437,4,8140.699,5346.259,0.0043942114075466
Switzerland,APR2015,April 2015,2015,4,April,Nuclear,2010.0,6,22095.0,9418.0,0.3939440799318418
Canada,JUN2011,June 2011,2011,6,June,Used for pumped storage,15.513,18,210.001,111.033,0.0003439176294996
New Zealand,MAY2019,May 2019,2019,5,May,Total exports,0.0,16,0.0,0.0,0.0
OECD Total,DEC2022,December 2022,2022,12,December,Fossil fuels,489939.125106,27,5554651.020676,5527230.356008,0.5214047188134583
Finland,OCT2017,October 2017,2017,10,October,Natural gas,175.59,10,3122.146,2460.308,0.0309827453687333
United Kingdom,OCT2016,October 2016,2016,10,October,Total combustible fuels,17306.246,7,202924.79,172457.324,0.6469434096670348
Luxembourg,JUL2010,July 2010,2010,7,July,Wind,4.581,2,55.086,,0.0129353795761623
Korea,MAR2018,March 2018,2018,3,March,Total exports,0.0,16,0.0,,0.0
Sweden,MAR2018,March 2018,2018,3,March,Others,184.318456,24,1809.133387,567.991,0.0115293582143357
Korea,DEC2021,December 2021,2021,12,December,Coal,16395.591332,8,177996.537506,198971.38694,0.3256196301709634
Estonia,SEP2020,September 2020,2020,9,September,Hydro,1.016043,1,38.609625,11.684491,0.0021316496598433
OECD Americas,JAN2012,January 2012,2012,1,January,Total exports,5137.182,16,70976.002,5965.026,0.0119402283351448
Slovenia,AUG2012,August 2012,2012,8,August,Wind,0.0,2,0.0,0.0,0.0
France,JAN2022,January 2022,2022,1,January,Final consumption,48168.199482,20,424417.15697,49101.148173,0.9145835541696732
IEA Total,FEB2016,February 2016,2016,2,February,Used for pumped storage,6370.184463,18,85192.994534,14552.079761,0.0074486793048695
Luxembourg,JUN2012,June 2012,2012,6,June,Geothermal,0.0,4,0.0,0.0,0.0
Serbia,MAR2022,March 2022,2022,3,March,Net electricity production,3126.685961,14,32759.280331,11005.625908,1.0
United Kingdom,SEP2022,September 2022,2022,9,September,Nuclear,3189.427615,6,43381.479736,30467.886582,0.1238000489489137
Japan,FEB2011,February 2011,2011,2,February,Geothermal,185.107,4,2366.026,426.161,0.0020024490399507
Colombia,FEB2018,February 2018,2018,2,February,Total combustible fuels,1977.86903,7,19437.342999,2931.747,0.3367583668286139
OECD Europe,SEP2019,September 2019,2019,9,September,Electricity trade,-252.131512,21,-14930.860685,-17565.900116,-0.0009374824266765
Japan,NOV2020,November 2020,2020,11,November,Other renewables,0.0,5,0.0,0.0,0.0
Lithuania,MAY2014,May 2014,2014,5,May,Natural gas,49.159,10,1582.57,845.665,0.2200019691382335
Denmark,DEC2010,December 2010,2010,12,December,Solar,0.071,3,6.0,,1.70287678247428e-05
New Zealand,JUN2021,June 2021,2021,6,June,Net electricity production,3761.110314,14,43109.905685,20843.445795,1.0
Spain,OCT2022,October 2022,2022,10,October,Total exports,2667.737602,16,27915.591101,12378.451664,0.1181458777776798
Estonia,APR2021,April 2021,2021,4,April,Non-renewables,208.283039,23,3498.479909,889.290412,0.4941969635399457
OECD Total,AUG2017,August 2017,2017,8,August,Electricity trade,2432.766,21,4892.637,-11043.787,0.0026208408173752
IEA Total,DEC2013,December 2013,2013,12,December,Others,35674.957,24,397553.138,452787.047,0.0389641360105713
North Macedonia,FEB2018,February 2018,2018,2,February,Others,0.044472,24,43.526961,22.904,7.893538907838476e-05
Australia,JAN2010,January 2010,2010,1,January,Net electricity production,20739.227,14,236625.007,,1.0
OECD Asia Oceania,APR2012,April 2012,2012,4,April,Natural gas,47695.822,10,578872.797,173722.193,0.3333618171809462
Germany,FEB2015,February 2015,2015,2,February,Natural gas,7317.548,10,58272.887,14234.907,0.1370371582782935
United Kingdom,APR2017,April 2017,2017,4,April,Total exports,47.892,16,3407.049,485.895,0.0019487097732238
Chile,JAN2021,January 2021,2021,1,January,Final consumption,6770.980093,20,83113.168046,7085.068666,0.9712607189310076
France,NOV2019,November 2019,2019,11,November,Others,736.588121,24,8373.276598,7567.998186,0.0157891952538224
Republic of Turkiye,AUG2021,August 2021,2021,8,August,Oil,11.561077,9,496.185022,124.703744,0.0003727433356008
Finland,FEB2010,February 2010,2010,2,February,Total combustible fuels,4702.57,7,42000.0,,0.6254510429082955
Norway,MAR2021,March 2021,2021,3,March,Used for pumped storage,16.711,18,579.117,122.695,0.0012100226658642
United States,JUL2022,July 2022,2022,7,July,Solar,20373.315986,3,188300.466584,91095.787383,0.0470552355717273
United States,AUG2016,August 2016,2016,8,August,Coal,139915.227,8,1279056.933,986033.626,0.3368527022528393
Estonia,SEP2010,September 2010,2010,9,September,Renewables,77.708,22,971.987,,0.0894960634999608
Finland,APR2010,April 2010,2010,4,April,Solar,0.489,3,4.74,,7.336963004451841e-05
Poland,JAN2022,January 2022,2022,1,January,Used for pumped storage,127.028367,18,1500.87226,141.666879,0.0083642127564754
Slovenia,MAY2016,May 2016,2016,5,May,Total combustible fuels,302.233,7,5120.998,1791.259,0.226601897489957
Japan,NOV2017,November 2017,2017,11,November,Renewables,13244.655,22,170723.842,144055.555,0.1616492440775672
Australia,AUG2021,August 2021,2021,8,August,Distribution losses,956.623772,19,11073.082441,6555.095399,0.0437064201602941
Republic of Turkiye,OCT2019,October 2019,2019,10,October,Not specified,101.479354,13,1039.924,759.274495,0.0044469571224821
Denmark,SEP2014,September 2014,2014,9,September,Natural gas,116.425,10,1940.65,2363.503,0.0578020189623389
Hungary,FEB2022,February 2022,2022,2,February,Oil,1.885707,9,49.724856,6.110798,0.0007249951968717
Chile,AUG2018,August 2018,2018,8,August,Net electricity production,7140.081048,14,79882.471001,51547.576,1.0
Italy,JAN2020,January 2020,2020,1,January,Nuclear,0.0,6,0.0,0.0,0.0
Romania,JUN2018,June 2018,2018,6,June,Natural gas,590.158297,10,9159.551328,4550.784,0.1302700656775132
United Kingdom,DEC2016,December 2016,2016,12,December,Net electricity production,30312.865,14,323896.665,327447.163,1.0
Greece,NOV2015,November 2015,2015,11,November,Total exports,140.276,16,1473.001,588.739,0.0372632759518836
France,JUN2022,June 2022,2022,6,June,Wind,1834.046926,2,37878.472176,20182.322803,0.0564509019239261
Slovak Republic,JUL2021,July 2021,2021,7,July,Other combustible non-renewables,10.041913,12,100.582415,23.022924,0.004527722561345
United Kingdom,OCT2013,October 2013,2013,10,October,Non-renewables,22461.922,23,285181.062,248637.101,0.8054155292699569
New Zealand,FEB2020,February 2020,2020,2,February,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
Portugal,MAY2014,May 2014,2014,5,May,Net electricity production,3785.163,14,51527.109,23522.194,1.0
Australia,OCT2011,October 2011,2011,10,October,Combustible renewables,237.591,11,2416.65,1958.458,0.0124914013212365
Latvia,OCT2016,October 2016,2016,10,October,Combustible renewables,46.49,11,715.947,557.382,0.0983996562679247
United Kingdom,AUG2022,August 2022,2022,8,August,Combustible renewables,3083.531616,11,35369.645831,25511.138776,0.1243906638313366
Denmark,APR2018,April 2018,2018,4,April,Oil,18.025583,9,245.809022,85.836,0.0068926889104904
France,JAN2019,January 2019,2019,1,January,Others,716.262536,24,8373.276598,647.591537,0.0126749407564933
Malta,AUG2020,August 2020,2020,8,August,Used for pumped storage,0.0,18,0.0,0.0,0.0
Hungary,JUL2016,July 2016,2016,7,July,Coal,469.743,8,5194.557,2941.678,0.1794333298318324
Italy,JUL2010,July 2010,2010,7,July,Not specified,61.75,13,741.0,,0.0022248515303429
Germany,NOV2016,November 2016,2016,11,November,Others,1171.362,24,14057.152,12883.834,0.0211295128188727
France,JUN2012,June 2012,2012,6,June,Net electricity production,37860.882,14,548012.838,285342.745,1.0
Sweden,APR2010,April 2010,2010,4,April,Natural gas,234.383,10,2743.304,,0.0207251608969198
Hungary,FEB2012,February 2012,2012,2,February,Total exports,1395.0,16,9003.0,1127.861,0.416927433107804
Iceland,AUG2016,August 2016,2016,8,August,Other renewables aggregated,388.324,25,5067.998,3330.348,0.2665169560332539
Serbia,APR2015,April 2015,2015,4,April,Low carbon,1354.138,26,10728.852,,0.4296855143150974
Canada,AUG2019,August 2019,2019,8,August,Wind,1740.492852,2,32332.999999,20975.134237,0.0354043391506529
Portugal,MAR2011,March 2011,2011,3,March,Distribution losses,363.322,19,4090.001,1175.568,0.0759607470003803
Germany,MAY2019,May 2019,2019,5,May,Other renewables,0.0,5,0.0,0.0,0.0
OECD Americas,SEP2015,September 2015,2015,9,September,Final consumption,416995.326,20,4834202.945,3656210.407,0.9501281703090616
Hungary,JUL2010,July 2010,2010,7,July,Net electricity production,2493.359,14,34612.85,,1.0
Germany,APR2012,April 2012,2012,4,April,Final consumption,43426.467,20,538206.0,187306.831,0.9180134019721328
OECD Total,OCT2022,October 2022,2022,10,October,Other renewables,86.052299,5,1021.844119,802.06626,0.0001041922015748
United Kingdom,OCT2012,October 2012,2012,10,October,Non-renewables,26060.929,23,302348.883,259027.362,0.8832202472142274
Finland,JAN2011,January 2011,2011,1,January,Electricity trade,-658.982,21,-13851.999,-1018.979,-0.0808310393781801
Chile,DEC2012,December 2012,2012,12,December,Oil,381.25,9,5678.054,6003.775,0.0679451826286311
OECD Asia Oceania,JAN2011,January 2011,2011,1,January,Other combustible non-renewables,1358.666,12,13467.283,531.715,0.0073631707548587
North Macedonia,MAY2019,May 2019,2019,5,May,Not specified,0.0,13,0.0,0.0,0.0
Norway,MAR2016,March 2016,2016,3,March,Not specified,25.667,13,308.004,83.499,0.0017967717890518
Sweden,APR2018,April 2018,2018,4,April,Other renewables aggregated,945.966224,25,11488.382764,4890.75,0.072287039856628
Denmark,AUG2015,August 2015,2015,8,August,Net electricity production,1444.313,14,27921.142,20070.531,1.0
Korea,MAR2012,March 2012,2012,3,March,Distribution losses,1488.238,19,17291.504,4600.223,0.0337184712759016
Italy,DEC2016,December 2016,2016,12,December,Others,1512.067,24,14651.709,15596.429,0.0592185487461419
IEA Total,OCT2018,October 2018,2018,10,October,Coal,209765.056462,8,2676988.729128,2305142.231761,0.2495399570660121
Belgium,JUL2018,July 2018,2018,7,July,Geothermal,0.0,4,0.0,,0.0
Australia,APR2016,April 2016,2016,4,April,Hydro,953.907139,1,17985.428191,3845.445636,0.0481912943894521
Colombia,AUG2018,August 2018,2018,8,August,Fossil fuels,1418.201815,27,18018.027611,9942.455,0.2106697013570085
North Macedonia,OCT2021,October 2021,2021,10,October,Geothermal,0.0,4,0.0,0.0,0.0
