COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Poland,MAY2021,May 2021,2021,5,May,Natural gas,1184.850058,10,15240.727799,6458.740996,0.0936953287343727
Sweden,MAR2010,March 2010,2010,3,March,Natural gas,303.393,10,2743.304,,0.0242468827571435
OECD Europe,DEC2015,December 2015,2015,12,December,Electricity supplied,308222.024,17,3454895.661,3393850.674,1.0007417167591608
Korea,JUL2021,July 2021,2021,7,July,Fossil fuels,35860.877106,27,352854.542277,206577.794889,0.69957738251863
Argentina,APR2017,April 2017,2017,4,April,Coal,276.379,8,2110.775,668.799,0.0271037846878066
Croatia,APR2021,April 2021,2021,4,April,Low carbon,875.813833,26,10445.7978,2752.447584,0.8045229084013455
Greece,JUN2012,June 2012,2012,6,June,Total imports,515.475,15,5954.001,3540.044,0.1128991138906155
Italy,DEC2011,December 2011,2011,12,December,Total imports,4408.772,15,47518.998,45987.0,0.1854101380054338
Portugal,NOV2018,November 2018,2018,11,November,Natural gas,1241.891086,10,15022.405921,16965.935,0.2530369234181883
Colombia,OCT2017,October 2017,2017,10,October,Oil,173.198,9,2077.583,3479.432,0.0261752830235158
Finland,JAN2015,January 2015,2015,1,January,Fossil fuels,1975.948,27,14068.125,2409.653,0.3047740502128462
Hungary,MAR2021,March 2021,2021,3,March,Total exports,477.844658,16,7213.216703,2125.257307,0.1592503491532535
Australia,APR2019,April 2019,2019,4,April,Geothermal,0.0,4,0.0,0.0,0.0
Norway,OCT2018,October 2018,2018,10,October,Nuclear,0.0,6,0.0,,0.0
Argentina,FEB2017,February 2017,2017,2,February,Low carbon,3238.901,26,39062.828,7070.245,0.2767983189564444
Lithuania,JAN2016,January 2016,2016,1,January,Natural gas,105.191,10,882.331,132.154,0.2637688064192577
Latvia,FEB2010,February 2010,2010,2,February,Net electricity production,491.297,14,6068.701,,1.0
Slovak Republic,DEC2011,December 2011,2011,12,December,Low carbon,1622.205,26,19129.825,19037.518,0.7179340451577441
Ireland,APR2020,April 2020,2020,4,April,Solar,7.90872,3,63.84378,10.54104,0.003574875696473
Romania,AUG2022,August 2022,2022,8,August,Oil,64.740011,9,647.400108,300.292,0.016628932575314
Belgium,NOV2021,November 2021,2021,11,November,Oil,11.2662,9,115.236516,94.011371,0.0014253553571568
Italy,FEB2011,February 2011,2011,2,February,Net electricity production,23066.356,14,291442.085,48501.65,1.0
France,DEC2014,December 2014,2014,12,December,Distribution losses,3986.382,19,34526.922,38785.214,0.0713084993410588
Austria,FEB2018,February 2018,2018,2,February,Natural gas,1335.837605,10,9450.281396,3750.088,0.2392267439732804
United Kingdom,JUN2015,June 2015,2015,6,June,Not specified,0.0,13,0.0,0.0,0.0
India,JUL2017,July 2017,2017,7,July,Wind,10215.242801,2,54587.538124,24617.121759,0.0847773725671904
Iceland,FEB2021,February 2021,2021,2,February,Total exports,0.0,16,0.0,0.0,0.0
United Kingdom,APR2019,April 2019,2019,4,April,Not specified,0.0,13,0.0,0.0,0.0
Switzerland,JUN2020,June 2020,2020,6,June,Other combustible non-renewables,89.483573,12,1166.26924,581.300116,0.0143281837343234
Luxembourg,OCT2010,October 2010,2010,10,October,Total exports,282.027,16,3216.07,,0.6860435133741353
Latvia,JUN2021,June 2021,2021,6,June,Electricity supplied,551.438391,17,7308.717308,3520.96805,1.5731465782888006
Czech Republic,FEB2020,February 2020,2020,2,February,Other combustible non-renewables,8.276908,12,84.04667,13.503647,0.001250588529356
